!SIL 1.0	SIL
<UNK> 1.0	SPN
ASLEEP 1.0	AH S L IY P
NUMB 1.0	N AH M
ALOUD 1.0	AH L AW D
COUNTS 1.0	K AW N T S
WORTH 1.0	W ER TH
CONSCIENCE 1.0	K AA N SH AH N S
WE'LL 1.0	W IY L
ART 1.0	AA R T
EARNED 1.0	ER N D
STARES 1.0	S T EH R Z
ALWAYS 1.0	AO L W EY Z
YEARS 1.0	Y IH R Z
SPIRIT 1.0	S P IH R AH T
ARC 1.0	AA R K
ARE 1.0	AA R
MEMORY 1.0	M EH M ER IY
ARI 1.0	AA R IY
LOUD 1.0	L AW D
ARM 1.0	AA R M
BE 1.0	B IY
HILLS 1.0	HH IH L Z
DEAL 1.0	D IY L
SERENADE 1.0	S EH R AH N EY D
FREES 1.0	F R IY Z
DEAF 1.0	D EH F
SOON 1.0	S UW N
TASKING 1.0	T AE S K IH NG
TIL 1.0	T IH L
BORN 1.0	B AO R N
CONVENIENCE 1.0	K AH N V IY N Y AH N S
LOVES 1.0	L AH V Z
LOVER 1.0	L AH V ER
DEAR 1.0	D IH R
TIE 1.0	T AY
HOPPED 1.0	HH AA P T
BY 1.0	B AY
THRILLER 1.0	TH R IH L ER
HIDING 1.0	HH AY D IH NG
SNAPS 1.0	S N AE P S
QUICKER 1.0	K W IH K ER
FIVES 1.0	F AY V Z
CREATIVE 1.0	K R IY EY T IH V
SHELF 1.0	SH EH L F
SHALLOW 1.0	SH AE L OW
FACING 1.0	F EY S IH NG
HOPELESS 1.0	HH OW P L AH S
HUMAN 1.0	HH Y UW M AH N
FACTS 1.0	F AE K T S
TICKETS 1.0	T IH K AH T S
STEPPIN' 1.0	S T EH P IH N
PROVE 1.0	P R UW V
PONIES 1.0	P OW N IY Z
TEARS 1.0	T EH R Z
BUILD 1.0	B IH L D
CLEAN 1.0	K L IY N
ESCAPE 1.0	IH S K EY P
YOGA 1.0	Y OW G AH
REGRETS 1.0	R IH G R EH T S
GHETTOS 1.0	G EH T OW Z
TREE 1.0	T R IY
LATE 1.0	L EY T
MATTERS 1.0	M AE T ER Z
SHIVER 1.0	SH IH V ER
ABSURD 1.0	AH B S ER D
JUDGE 1.0	JH AH JH
THOSE 1.0	DH OW Z
SOUND 1.0	S AW N D
ADVANCE 1.0	AH D V AE N S
GARDEN 1.0	G AA R D AH N
CHALLENGE 1.0	CH AE L AH N JH
NOBODY 1.0	N OW B AA D IY
ASIDE 1.0	AH S AY D
DOWN 1.0	D AW N
SOLDIER 1.0	S OW L JH ER
WEIRDO 1.0	W IH R D OW
DIGGING 1.0	D IH G IH NG
GLADLY 1.0	G L AE D L IY
ADDICTION 1.0	AH D IH K SH AH N
LIMING 1.0	L AY M IH NG
KING 1.0	K IH NG
KIND 1.0	K AY N D
FIVE 1.0	F AY V
LANGUAGE 1.0	L AE NG G W AH JH
MIRRORS 1.0	M IH R ER Z
BANGING 1.0	B AE NG IH NG
MOTION 1.0	M OW SH AH N
SUFFERING 1.0	S AH F ER IH NG
TAILS 1.0	T EY L Z
SOMETHING 1.0	S AH M TH IH NG
COMIN' 1.0	K AH M IH N
STITCHES 1.0	S T IH CH IH Z
STABBED 1.0	S T AE B D
STAGE 1.0	S T EY JH
ENEMY 1.0	EH N AH M IY
ANCIENT 1.0	EY N CH AH N T
SPILL 1.0	S P IH L
SCARS 1.0	S K AA R Z
DEALS 1.0	D IY L Z
LURED 1.0	L UH R D
MARCHING 1.0	M AA R CH IH NG
SOMETHIN' 1.0	S AH M TH IH N
SHEETS 1.0	SH IY T S
DEALT 1.0	D EH L T
INSTEAD 1.0	IH N S T EH D
KILLED 1.0	K IH L D
WILDING 1.0	W AY L D IH NG
GUTS 1.0	G AH T S
CADDY 1.0	K AE D IY
BOUND 1.0	B AW N D
US 1.0	AH S
PILL 1.0	P IH L
DEFEND 1.0	D IH F EH N D
VOW 1.0	V AW
UH 1.0	AH
OPTIMIST 1.0	AA P T AH M IH S T
PROMOTED 1.0	P R AH M OW T AH D
LISTEN 1.0	L IH S AH N
SMASH 1.0	S M AE SH
WALKIN' 1.0	W AO K IH N
CROSSES 1.0	K R AO S IH Z
SADLY 1.0	S AE D L IY
STEPPING 1.0	S T EH P IH NG
MODERN 1.0	M AA D ER N
STOP 1.0	S T AA P
CROSS 1.0	K R AO S
BROKEN 1.0	B R OW K AH N
WHILE 1.0	W AY L
GRANTS 1.0	G R AE N T S
CROSSED 1.0	K R AO S T
FOOLS 1.0	F UW L Z
SHARK 1.0	SH AA R K
I'LL 1.0	AY L
GRAY 1.0	G R EY
WHATS 1.0	W AH T S
STALKS 1.0	S T AO K S
MEANWHILE 1.0	M IY N W AY L
LOCAL 1.0	L OW K AH L
SCENE 1.0	S IY N
FAST 1.0	F AE S T
QUITE 1.0	K W AY T
BLOOD'S 1.0	B L AH D Z
WALKS 1.0	W AO K S
TOUCH 1.0	T AH CH
CLOSE 1.0	K L OW S
GRAB 1.0	G R AE B
SCENT 1.0	S EH N T
NOD 1.0	N AA D
AGAIN 1.0	AH G EH N
CUT 1.0	K AH T
CUP 1.0	K AH P
DIES 1.0	D AY Z
MIND 1.0	M AY N D
MINE 1.0	M AY N
WAKING 1.0	W EY K IH NG
FEW 1.0	F Y UW
WEAR 1.0	W EH R
APPLY 1.0	AH P L AY
GHOSTS 1.0	G OW S T S
DADDY 1.0	D AE D IY
DIED 1.0	D AY D
MOAN 1.0	M OW N
WALKING 1.0	W AO K IH NG
TEARING 1.0	T EH R IH NG
PASSIVE 1.0	P AE S IH V
WIN 1.0	W IH N
DOS 1.0	D AO S
FAILURE 1.0	F EY L Y ER
NICEST 1.0	N AY S IH S T
TRUSTED 1.0	T R AH S T IH D
MAMA 1.0	M AA M AH
USING 1.0	Y UW Z IH NG
SKINNY 1.0	S K IH N IY
FALLEN 1.0	F AA L AH N
SELF 1.0	S EH L F
GRADUATE 1.0	G R AE JH AH W AH T
GLANCE 1.0	G L AE N S
DYING 1.0	D AY IH NG
KNEES 1.0	N IY Z
CIRCUS 1.0	S ER K AH S
DRIVE 1.0	D R AY V
MINDS 1.0	M AY N D Z
SNOW 1.0	S N OW
WRITTEN 1.0	R IH T AH N
DOUBT 1.0	D AW T
DOUBTED 1.0	D AW T IH D
NEWS 1.0	N UW Z
CHANGE 1.0	CH EY N JH
DAD 1.0	D AE D
ENTIRE 1.0	IH N T AY ER
CRIED 1.0	K R AY D
LOTS 1.0	L AA T S
RULER 1.0	R UW L ER
FINAL 1.0	F AY N AH L
GRINNING 1.0	G R IH N IH NG
CRIES 1.0	K R AY Z
ENTERTAIN 1.0	EH N T ER T EY N
SHOULDN'T 1.0	SH UH D AH N T
JEAN 1.0	JH IY N
DAY 1.0	D EY
WITNESS 1.0	W IH T N AH S
PLAY 1.0	P L EY
PAUSE 1.0	P AO Z
HOTTER 1.0	HH AA T ER
SPACE 1.0	S P EY S
TWO 1.0	T UW
CANDY 1.0	K AE N D IY
EDGES 1.0	EH JH AH Z
WEAPONS 1.0	W EH P AH N Z
MOST 1.0	M OW S T
CRACKS 1.0	K R AE K S
U 1.0	Y UW
PLAN 1.0	P L AE N
MOSS 1.0	M AO S
WRAPPED 1.0	R AE P T
MACK 1.0	M AE K
BUYING 1.0	B AY IH NG
MILLIONS 1.0	M IH L Y AH N Z
SELL 1.0	S EH L
CHEVY 1.0	CH EH V IY
ENVY 1.0	EH N V IY
ASHES 1.0	AE SH AH Z
POURED 1.0	P AO R D
INSIDE 1.0	IH N S AY D
OOH 1.0	UW
MONDAY'S 1.0	M AH N D IY Z
BRIGHTER 1.0	B R AY T ER
BECAME 1.0	B IH K EY M
FREAKS 1.0	F R IY K S
FREAKY 1.0	F R IY K IY
THROW 1.0	TH R OW
HUNK 1.0	HH AH NG K
PARLIAMENT 1.0	P AA R L AH M AH N T
JE 1.0	JH IY
DOSE 1.0	D OW S
DEARLY 1.0	D IH R L IY
PEOPLE'S 1.0	P IY P AH L Z
CRYSTALLINE 1.0	K R IH S T AH L AY N
ROT 1.0	R AA T
HANDCUFF 1.0	HH AE N D K AH F
OUTTA 1.0	UW T AH
MELODY 1.0	M EH L AH D IY
AFFORD 1.0	AH F AO R D
RULES 1.0	R UW L Z
DISCOVERS 1.0	D IH S K AH V ER Z
VALENTINE'S 1.0	V AE L AH N T AY N Z
DRIZZLY 1.0	D R IH Z L IY
EVERMORE 1.0	EH V ER M AO R
BELL 1.0	B EH L
GENTLY 1.0	JH EH N T L IY
COMPARED 1.0	K AH M P EH R D
STROLLING 1.0	S T R OW L IH NG
ABANDON 1.0	AH B AE N D AH N
EDIT 1.0	EH D AH T
APPLE 1.0	AE P AH L
BIND 1.0	B AY N D
SENSES 1.0	S EH N S IH Z
SEPARATE 1.0	S EH P ER EY T
CHRISTMAS 1.0	K R IH S M AH S
GRACE 1.0	G R EY S
CREATION 1.0	K R IY EY SH AH N
FEARING 1.0	F IH R IH NG
WHORE 1.0	HH AO R
MRS 1.0	M IH S IH Z
CROWBAR 1.0	K R OW B AA R
SHOUTS 1.0	SH AW T S
SACK 1.0	S AE K
REWIND 1.0	R IY W AY N D
BID 1.0	B IH D
PAINS 1.0	P EY N Z
SOLO 1.0	S OW L OW
LLOYD 1.0	L OY D
QUE 1.0	K Y UW
SNEAKY 1.0	S N IY K IY
COLLECTIVE 1.0	K AH L EH K T IH V
HAH 1.0	HH AA
BELIEVERS 1.0	B AH L IY V ER Z
NOTE 1.0	N OW T
DIRECTING 1.0	D ER EH K T IH NG
RIPLEY 1.0	R IH P L IY
ENDLESS 1.0	EH N D L AH S
EMOTIONALLY 1.0	IH M OW SH N AH L IY
FOREST 1.0	F AO R AH S T
LEAF 1.0	L IY F
ELECTRICITY 1.0	IH L EH K T R IH S AH T IY
PUBLIC 1.0	P AH B L IH K
SPACESHIPS 1.0	S P EY S SH IH P S
TEA 1.0	T IY
FOX 1.0	F AA K S
POPES 1.0	P OW P Z
NIECE 1.0	N IY S
SLAVE 1.0	S L EY V
PRAY 1.0	P R EY
FURRY 1.0	F ER IY
GENTLE 1.0	JH EH N T AH L
STARVED 1.0	S T AA R V D
VANITY 1.0	V AE N AH T IY
SPEAKS 1.0	S P IY K S
APPALLED 1.0	AH P AO L D
FOUNTAIN 1.0	F AW N T AH N
ERIE 1.0	IH R IY
DAY'S 1.0	D EY Z
BUST 1.0	B AH S T
COWBOY 1.0	K AW B OY
LOIS 1.0	L OW AH S
FORCED 1.0	F AO R S T
BIRTHDAY 1.0	B ER TH D EY
SERVED 1.0	S ER V D
EVENINGS 1.0	IY V N IH NG Z
CREAM 1.0	K R IY M
CIVILIZED 1.0	S IH V AH L AY Z D
WOMEN 1.0	W IH M AH N
SOARED 1.0	S AO R D
BERETTA 1.0	B ER EH T AH
SI 1.0	S IY
QUI 1.0	K W IY
D'OR 1.0	D AO R
STANDS 1.0	S T AE N D Z
FIFTY 1.0	F IH F T IY
WHOEVER 1.0	HH UW EH V ER
MR 1.0	M IH S T ER
EROTIC 1.0	IH R AA T IH K
JUSTIFY 1.0	JH AH S T AH F AY
OUTLIVED 1.0	AW T L IH V D
HUMP 1.0	HH AH M P
BANK 1.0	B AE NG K
NINETY 1.0	N AY N T IY
SOUP 1.0	S UW P
PER 1.0	P ER
BETS 1.0	B EH T S
TEEN 1.0	T IY N
DAISY 1.0	D EY Z IY
SYNONYM 1.0	S IH N AH N IH M
AVENUE 1.0	AE V AH N UW
LONDON 1.0	L AH N D AH N
IMAGES 1.0	IH M AH JH AH Z
BILLIE 1.0	B IH L IY
COMMONLY 1.0	K AA M AH N L IY
JUNK 1.0	JH AH NG K
BORING 1.0	B AO R IH NG
RICA 1.0	R IY K AH
DANN 1.0	D AE N
TU 1.0	T UW
STASH 1.0	S T AE SH
BARKING 1.0	B AA R K IH NG
TI 1.0	T IY
FOOTWORK 1.0	F UH T W ER K
KILLER'S 1.0	K IH L ER Z
SUCK 1.0	S AH K
GRUNDIG 1.0	G R AH N D IH G
BOOGIE 1.0	B UW G IY
CELLO 1.0	CH EH L OW
SPENDING 1.0	S P EH N D IH NG
WINKS 1.0	W IH NG K S
TIDAL 1.0	T AY D AH L
AUX 1.0	OW
BOGEY 1.0	B OW G IY
EASIEST 1.0	IY Z IY AH S T
UNBEARABLE 1.0	AH N B EH R AH B AH L
BEENS 1.0	B IH N Z
REVOLVE 1.0	R IY V AA L V
POISON 1.0	P OY Z AH N
PLAIN 1.0	P L EY N
JOCK 1.0	JH AA K
REPLY 1.0	R IH P L AY
SUCKED 1.0	S AH K T
CHICKEN 1.0	CH IH K AH N
WALTZ 1.0	W AO L T S
ACTION 1.0	AE K SH AH N
DEVOUR 1.0	D IH V AW ER
TENER 1.0	T EH N ER
MOUNTAIN 1.0	M AW N T AH N
GRIND 1.0	G R AY N D
BALLROOM 1.0	B AO L R UW M
RUNWAY 1.0	R AH N W EY
FIREWORKS 1.0	F AY R W ER K S
NOBLE 1.0	N OW B AH L
ROPE 1.0	R OW P
SWEETER 1.0	S W IY T ER
CHESTNUT 1.0	CH EH S N AH T
HOMEBOYS 1.0	HH OW M B OY Z
DECIDE 1.0	D IH S AY D
BLUEBERRY 1.0	B L UW B EH R IY
CHICAGO 1.0	SH AH K AA G OW
DUSK 1.0	D AH S K
EVERYWHERE 1.0	EH V R IY W EH R
CRAWLED 1.0	K R AO L D
EDUCATION 1.0	EH JH AH K EY SH AH N
RACKS 1.0	R AE K S
FOLDED 1.0	F OW L D AH D
ECCENTRIC 1.0	IH K S EH N T R IH K
HALLS 1.0	HH AO L Z
CARESS 1.0	K ER EH S
SUCKING 1.0	S AH K IH NG
OUGHT 1.0	AO T
TIPPED 1.0	T IH P T
ESTAN 1.0	EH S T AH N
FIREPLACE 1.0	F AY ER P L EY S
DRAGGING 1.0	D R AE G IH NG
YA'LL 1.0	Y AA L
TOY 1.0	T OY
BABY'S 1.0	B EY B IY Z
RAINDROP 1.0	R EY N D R AA P
HONKY 1.0	HH AO NG K IY
FRET 1.0	F R EH T
SPOTLIGHT 1.0	S P AA T L AY T
TEENY 1.0	T IY N IY
SCRATCH 1.0	S K R AE CH
KING'S 1.0	K IH NG Z
IMITATION 1.0	IH M AH T EY SH AH N
DEPARTED 1.0	D IH P AA R T AH D
JACK 1.0	JH AE K
CHARLES 1.0	CH AA R L Z
MISTER 1.0	M IH S T ER
AMAR 1.0	AH M AA R
POLISH 1.0	P AA L IH SH
NAMES 1.0	N EY M Z
RID 1.0	R IH D
RESUSCITATION 1.0	R IH S AH S IH T EY SH AH N
INTERVIEWS 1.0	IH N T ER V Y UW Z
RUB 1.0	R AH B
DES 1.0	D EH
HELPING 1.0	HH EH L P IH NG
BON 1.0	B AA N
MIN 1.0	M IH N
AWAITING 1.0	AH W EY T IH NG
C'MON 1.0	K AH M AA N
HOOKED 1.0	HH UH K T
RESULT 1.0	R IH Z AH L T
CATHEDRAL 1.0	K AH TH IY D R AH L
WHISTLING 1.0	W IH S L IH NG
TABOO 1.0	T AE B UW
CAMINO 1.0	K AH M IY N OW
SOULS 1.0	S OW L Z
SENSUAL 1.0	S EH N SH AH W AH L
GASOLINE 1.0	G AE S AH L IY N
LIP 1.0	L IH P
INFIRMITY 1.0	IH N F ER M IH T IY
ROB 1.0	R AA B
DRIFTING 1.0	D R IH F T IH NG
JACKS 1.0	JH AE K S
STRIFE 1.0	S T R AY F
HAT 1.0	HH AE T
MILK 1.0	M IH L K
HANDSOME 1.0	HH AE N S AH M
TRAMP 1.0	T R AE M P
EN 1.0	EH N
THEMSELVES 1.0	DH EH M S EH L V Z
ORPHANS 1.0	AO R F AH N Z
TONS 1.0	T AH N Z
BLIZZARD 1.0	B L IH Z ER D
STREAM 1.0	S T R IY M
PERILOUS 1.0	P EH R AH L AH S
STUDIES 1.0	S T AH D IY Z
PARALYZED 1.0	P EH R AH L AY Z D
MAXWELL 1.0	M AE K S W EH L
SCORE 1.0	S K AO R
BRICK 1.0	B R IH K
PLANTERS 1.0	P L AE N T ER Z
HOPEFULLY 1.0	HH OW P F AH L IY
SCREWING 1.0	S K R UW IH NG
KANSAS 1.0	K AE N Z AH S
LOOSE 1.0	L UW S
MEADOW 1.0	M EH D OW
DR 1.0	D R AY V
WHOSE 1.0	HH UW Z
INSTRUMENTAL 1.0	IH N S T R AH M EH N T AH L
SINKING 1.0	S IH NG K IH NG
COMPLAIN 1.0	K AH M P L EY N
SHARING 1.0	SH EH R IH NG
PUSHER 1.0	P UH SH ER
SUPERSTITIOUS 1.0	S UW P ER S T IH SH AH S
PRESIDENTS 1.0	P R EH Z AH D EH N T S
NE 1.0	N IY
MESSING 1.0	M EH S IH NG
GRABBED 1.0	G R AE B D
BLOODS 1.0	B L AH D Z
UNSTEADY 1.0	AH N S T EH D IY
LINERS 1.0	L AY N ER Z
CLOCK 1.0	K L AA K
DIPPED 1.0	D IH P T
MILITIA 1.0	M AH L IH SH AH
TIDE 1.0	T AY D
ILL 1.0	IH L
BEAUTIFULLY 1.0	B Y UW T AH F L IY
IRON 1.0	AY ER N
BASS 1.0	B AE S
GIRLS' 1.0	G ER L Z
SHOWERS 1.0	SH AW ER Z
STARRY 1.0	S T AA R IY
VAIN 1.0	V EY N
CONDEMNED 1.0	K AH N D EH M D
LOIN 1.0	L OY N
BEGS 1.0	B EH G Z
OUTSHINE 1.0	AW CH AY N
STRUM 1.0	S T R AH M
BRANCH 1.0	B R AE N CH
SPELLBOUND 1.0	S P EH L B AW N D
DECEIVED 1.0	D IH S IY V D
STRAND 1.0	S T R AE N D
TODA 1.0	T OW D AH
HOOVER 1.0	HH UW V ER
SEAL 1.0	S IY L
FEATURES 1.0	F IY CH ER Z
DAMMIT 1.0	D AE M IH T
JETS 1.0	JH EH T S
UPSIDE 1.0	AH P S AY D
BRO 1.0	B R OW
EGOS 1.0	IY G OW Z
CAMDEN 1.0	K AE M D AH N
MEL 1.0	M EH L
MOI 1.0	M W AA
HOLSTON 1.0	HH OW L S T AH N
YEA 1.0	Y EY
VIRGIN 1.0	V ER JH IH N
DECADES 1.0	D EH K EY D Z
BOOK 1.0	B UH K
PEKING 1.0	P IY K IH NG
HEREDITARY 1.0	HH ER EH D AH T EH R IY
OYE 1.0	OY
CAPERNAUM 1.0	K AH P ER N IY AH M
SAFER 1.0	S EY F ER
EUPHORIA 1.0	Y UW F AO R IY AH
HANDED 1.0	HH AE N D AH D
PROUDLY 1.0	P R AW D L IY
NAIL 1.0	N EY L
SPED 1.0	S P EH D
HARSH 1.0	HH AA R SH
AFTERNOON 1.0	AE F T ER N UW N
SHOOP 1.0	SH UW P
SANTO 1.0	S AE N T OW
LOON 1.0	L UW N
GRAPESHOT 1.0	G R EY P SH AA T
'TIS 1.0	T IH Z
SCRATCHING 1.0	S K R AE CH IH NG
RUTH 1.0	R UW TH
BOSS 1.0	B AA S
HOLES 1.0	HH OW L Z
DISCOVERING 1.0	D IH S K AH V ER IH NG
CON 1.0	K AA N
LAYERS 1.0	L EY ER Z
HUDDLE 1.0	HH AH D AH L
NODDING 1.0	N AA D IH NG
BOXES 1.0	B AA K S AH Z
INFLICTION 1.0	IH N F L IH K SH AH N
RAG 1.0	R AE G
DOG'S 1.0	D AO G Z
GOODS 1.0	G UH D Z
SUCKER 1.0	S AH K ER
SUITS 1.0	S UW T S
HAUNTS 1.0	HH AO N T S
EL 1.0	EH L
CARDBOARD 1.0	K AA R D B AO R D
METH 1.0	M EH TH
RUSHING 1.0	R AH SH IH NG
STOPPED 1.0	S T AA P T
THEE 1.0	DH IY
AMO 1.0	AA M OW
OOZE 1.0	UW Z
HUNDREDS 1.0	HH AH N D R AH D Z
CAPTAIN 1.0	K AE P T AH N
BRODY 1.0	B R OW D IY
NOBODY'S 1.0	N OW B AA D IY Z
MINSTRELS 1.0	M IH N S T R AH L Z
COLDER 1.0	K OW L D ER
M 1.0	EH M
BEGINNER 1.0	B IH G IH N ER
ROLLIN 1.0	R AA L IH N
PUB 1.0	P AH B
INLETS 1.0	IH N L EH T S
VISIONARY 1.0	V IH ZH AH N EH R IY
FEIN 1.0	F AY N
FLAMING 1.0	F L EY M IH NG
VOIR 1.0	V W AA R
PACK 1.0	P AE K
JUS 1.0	JH UW
MIGHTY 1.0	M AY T IY
NATIONAL 1.0	N AE SH AH N AH L
FARAH 1.0	F EH R AH
CLOUD 1.0	K L AW D
SANDSTORM 1.0	S AE N D S T AO R M
TE 1.0	T IY
SIGH 1.0	S AY
FORMING 1.0	F AO R M IH NG
ET 1.0	EH T
COSMIC 1.0	K AA Z M IH K
PARALLEL 1.0	P EH R AH L EH L
PAUPER 1.0	P AO P ER
BRICKS 1.0	B R IH K S
CAROUSEL 1.0	K EH R AH S EH L
IM 1.0	IH M
LETTERS 1.0	L EH T ER Z
SPRAY 1.0	S P R EY
JIGGLE 1.0	JH IH G AH L
CENT 1.0	S EH N T
CELLULOID 1.0	S EH L AH L OY D
GRIME 1.0	G R AY M
MOURN 1.0	M AO R N
SKYWRITER 1.0	S K AY R AY T ER
DRESSING 1.0	D R EH S IH NG
OU 1.0	UW
IMMEDIATELY 1.0	IH M IY D IY AH T L IY
BARLEY 1.0	B AA R L IY
REBOUND 1.0	R IY B AW N D
CONCRETE 1.0	K AH N K R IY T
SCREW 1.0	S K R UW
UNCARING 1.0	AH N K EH R IH NG
HIP 1.0	HH IH P
WEARS 1.0	W EH R Z
POLICE 1.0	P AH L IY S
UNDONE 1.0	AH N D AH N
EXPERIENCE 1.0	IH K S P IH R IY AH N S
SNAKE 1.0	S N EY K
INDIAN 1.0	IH N D IY AH N
CHICKENS 1.0	CH IH K AH N Z
L'AMOUR 1.0	L AE M AO R
CATTLE 1.0	K AE T AH L
SHA 1.0	SH AA
RESCUE 1.0	R EH S K Y UW
FLEE 1.0	F L IY
HANK 1.0	HH AE NG K
INSANITY 1.0	IH N S AE N AH T IY
TOUCHING 1.0	T AH CH IH NG
MEXICAN 1.0	M EH K S AH K AH N
CONCLUSION 1.0	K AH N K L UW ZH AH N
NOWADAYS 1.0	N AW AH D EY Z
NOON 1.0	N UW N
QUOTE 1.0	K W OW T
STIFLING 1.0	S T AY F L IH NG
TOTING 1.0	T OW T IH NG
VOMIT 1.0	V AA M AH T
MUMBO 1.0	M AH M B OW
MELT 1.0	M EH L T
JUDGED 1.0	JH AH JH D
SCHEMES 1.0	S K IY M Z
LEAP 1.0	L IY P
DISH 1.0	D IH SH
QUAI 1.0	K IY
CHARGE 1.0	CH AA R JH
MC 1.0	M IH K
JAR 1.0	JH AA R
STRAP 1.0	S T R AE P
PANTS 1.0	P AE N T S
MIRACLE 1.0	M IH R AH K AH L
UNCHANGING 1.0	AH N CH EY N JH IH NG
NEAT 1.0	N IY T
FAITHFUL 1.0	F EY TH F AH L
QUALITY 1.0	K W AA L AH T IY
JING 1.0	JH IH NG
PLENTY 1.0	P L EH N T IY
DIRECTION 1.0	D ER EH K SH AH N
EXHAUSTING 1.0	IH G Z AO S T IH NG
FLARE 1.0	F L EH R
FRUSTRATING 1.0	F R AH S T R EY T IH NG
HOSTILE 1.0	HH AA S T AH L
KITCH 1.0	K IH CH
ROLLIN' 1.0	R OW L IH N
SHOWER 1.0	SH AW ER
DECEMBER 1.0	D IH S EH M B ER
DATED 1.0	D EY T IH D
NINE 1.0	N AY N
PLAGUE 1.0	P L EY G
JANE 1.0	JH EY N
UNDO 1.0	AH N D UW
GOAT 1.0	G OW T
LUSCIOUS 1.0	L AH SH IH S
BELLAMY 1.0	B EH L AH M IY
GOOFING 1.0	G UW F IH NG
W 1.0	D AH B AH L Y UW
BOATS 1.0	B OW T S
BROWN 1.0	B R AW N
V 1.0	V IY
JOKES 1.0	JH OW K S
FREEDOM 1.0	F R IY D AH M
BRIGHTENS 1.0	B R AY T AH N Z
NEANDERTHAL 1.0	N IY AE N D ER TH AO L
REBORN 1.0	R IY B AO R N
PROJECTS 1.0	P R AA JH EH K T S
CALM 1.0	K AA M
CRUSADERS 1.0	K R UW S EY D ER Z
PASSED 1.0	P AE S T
BOUNCE 1.0	B AW N S
JUNKER 1.0	JH AH NG K ER
PLAYIN' 1.0	P L EY IH N
PIMPS 1.0	P IH M P S
SQUEEZING 1.0	S K W IY Z IH NG
SHOP 1.0	SH AA P
PEAR 1.0	P EH R
SHOTGUN 1.0	SH AA T G AH N
HIDES 1.0	HH AY D Z
CONSCIOUS 1.0	K AA N SH AH S
CONFINES 1.0	K AA N F AY N Z
LEMONS 1.0	L EH M AH N Z
FREAK 1.0	F R IY K
PRAISE 1.0	P R EY Z
DEMANDS 1.0	D IH M AE N D Z
SOMEPLACE 1.0	S AH M P L EY S
SUPER 1.0	S UW P ER
BARK 1.0	B AA R K
OCCUPATION 1.0	AA K Y AH P EY SH AH N
LINDA 1.0	L IH N D AH
OLDER 1.0	OW L D ER
OWNER 1.0	OW N ER
SOARING 1.0	S AO R IH NG
BORDERLINE 1.0	B AO R D ER L AY N
BULLET 1.0	B UH L AH T
REVIVAL 1.0	R IH V AY V AH L
SADDLE 1.0	S AE D AH L
LACK 1.0	L AE K
CANDLE 1.0	K AE N D AH L
WHEN'S 1.0	W EH N Z
PARTY'S 1.0	P AA R T IY Z
DOUBLE 1.0	D AH B AH L
CRITICS 1.0	K R IH T IH K S
HON 1.0	HH AA N
COZ 1.0	K AA Z
CHEZ 1.0	SH EY
BUGGED 1.0	B AH G D
AU 1.0	OW
IGNORED 1.0	IH G N AO R D
ACCEPT 1.0	AE K S EH P T
OASIS 1.0	OW EY S IH S
UNTO 1.0	AH N T UW
THING'S 1.0	TH IH NG Z
EIFFEL 1.0	AY F AH L
TASTES 1.0	T EY S T S
SOLEMN 1.0	S AA L AH M
BEDROOM 1.0	B EH D R UW M
BINDS 1.0	B AY N D Z
SPREADING 1.0	S P R EH D IH NG
REINCARNATED 1.0	R IY IH N K AA R N EY T IH D
CHEERING 1.0	CH IH R IH NG
FUCKER 1.0	F AH K ER
DU 1.0	D UW
JUGGERNAUT 1.0	JH AH G ER N AO T
WHERE'D 1.0	W EH R D
TWENTIETH 1.0	T W EH N T IY AH TH
COW 1.0	K AW
KRISTY 1.0	K R IH S T IY
BOMB 1.0	B AA M
SA 1.0	S AA
ORCHID 1.0	AO R K AH D
RARE 1.0	R EH R
BRASS 1.0	B R AE S
DIGITS 1.0	D IH JH AH T S
SINCERITY 1.0	S IH N S EH R AH T IY
RESUME 1.0	R IH Z UW M
NARCO 1.0	N AA R K OW
RIVERS 1.0	R IH V ER Z
EXECUTE 1.0	EH K S AH K Y UW T
REVEALING 1.0	R IH V IY L IH NG
EAGER 1.0	IY G ER
UNVEILING 1.0	AH N V EY L IH NG
SELECTED 1.0	S AH L EH K T AH D
WARMER 1.0	W AO R M ER
DESPITE 1.0	D IH S P AY T
BELLS 1.0	B EH L Z
POR 1.0	P AO R
JAMES 1.0	JH EY M Z
FAIRS 1.0	F EH R Z
SLIM 1.0	S L IH M
MERELY 1.0	M IH R L IY
SQUEEZED 1.0	S K W IY Z D
ASSASSIN 1.0	AH S AE S AH N
FANCY 1.0	F AE N S IY
COEUR 1.0	K UW R
EDIBLE 1.0	EH D AH B AH L
SLANG 1.0	S L AE NG
BUCKET 1.0	B AH K AH T
WANTING 1.0	W AA N T IH NG
COCK 1.0	K AA K
JOHN 1.0	JH AA N
AREA 1.0	EH R IY AH
IRONIC 1.0	AY R AA N IH K
CHAMP 1.0	CH AE M P
UN 1.0	AH N
TANGLED 1.0	T AE NG G AH L D
CULTURE 1.0	K AH L CH ER
OPTIMISTIC 1.0	AA P T AH M IH S T IH K
PUNK 1.0	P AH NG K
AYE 1.0	AY
PEBBLE 1.0	P EH B AH L
HOLMES 1.0	HH OW M Z
ACES 1.0	EY S IH Z
CLACK 1.0	K L AE K
DEALING 1.0	D IY L IH NG
PEDESTRIAN 1.0	P AH D EH S T R IY AH N
